"SEX","ORIGIN","RACE","YEAR","TOTAL_POP","POP_0","POP_1","POP_2","POP_3","POP_4","POP_5","POP_6","POP_7","POP_8","POP_9","POP_10","POP_11","POP_12","POP_13","POP_14","POP_15","POP_16","POP_17","POP_18","POP_19","POP_20","POP_21","POP_22","POP_23","POP_24","POP_25","POP_26","POP_27","POP_28","POP_29","POP_30","POP_31","POP_32","POP_33","POP_34","POP_35","POP_36","POP_37","POP_38","POP_39","POP_40","POP_41","POP_42","POP_43","POP_44","POP_45","POP_46","POP_47","POP_48","POP_49","POP_50","POP_51","POP_52","POP_53","POP_54","POP_55","POP_56","POP_57","POP_58","POP_59","POP_60","POP_61","POP_62","POP_63","POP_64","POP_65","POP_66","POP_67","POP_68","POP_69","POP_70","POP_71","POP_72","POP_73","POP_74","POP_75","POP_76","POP_77","POP_78","POP_79","POP_80","POP_81","POP_82","POP_83","POP_84","POP_85","POP_86","POP_87","POP_88","POP_89","POP_90","POP_91","POP_92","POP_93","POP_94","POP_95","POP_96","POP_97","POP_98","POP_99","POP_100"
0,0,0,2016,323127513,3970145,3995008,3992154,3982074,3987656,4032515,4029655,4029991,4159114,4178524,4144019,4131222,4139558,4109703,4093731,4196991,4265224,4205001,4219303,4243480,4286221,4386854,4480904,4552952,4674097,4758352,4747254,4559206,4451507,4374565,4392155,4423807,4283076,4345786,4341535,4293125,4375562,4103498,4022119,3979601,3862150,3979596,3854553,3912307,4087645,4319616,4371961,4142964,4055074,4058008,4131293,4375892,4452636,4445605,4433630,4484565,4518758,4362807,4332953,4281025,4123968,4083962,3911429,3757382,3606295,3490890,3403647,3295266,3251936,3378344,2487211,2445650,2371252,2413647,2092487,1900211,1784266,1664566,1578915,1439937,1358260,1284298,1135109,1079082,1008890,938333,876190,766479,693882,610338,520906,449986,372625,300000,239313,186408,135797,94311,68972,44895,81896
0,0,0,2017,326242569,4074650,3992664,4016942,4011349,3999263,4003903,4048705,4046282,4047370,4177057,4196468,4161499,4148316,4157194,4129018,4117002,4226433,4302318,4250713,4271505,4300314,4345486,4447046,4540932,4611661,4731387,4813117,4799308,4608981,4497856,4417542,4430371,4457542,4312944,4372637,4366089,4315217,4394766,4121856,4038735,3994126,3874408,3989572,3863126,3919606,4093009,4322152,4371502,4140655,4050439,4051140,4121825,4363560,4438483,4430376,4417159,4466134,4498225,4341366,4309543,4255617,4097045,4054252,3880037,3724306,3571377,3453426,3362977,3252400,3205261,3324787,2445324,2399927,2322070,2357858,2039632,1847068,1729051,1607492,1518802,1378993,1294139,1216507,1067964,1007465,933923,860740,795837,688768,616224,534931,450048,382735,311567,246253,192559,146827,104560,70854,50496,83626
0,0,0,2018,329366308,4116961,4097839,4013922,4035677,4028327,4015403,4020104,4065375,4063692,4065418,4195091,4214096,4178652,4166064,4176702,4152476,4146829,4263842,4347987,4303357,4328514,4359578,4405963,4507137,4600136,4669230,4786621,4865457,4848817,4655432,4540744,4456028,4464482,4487521,4340268,4397399,4388357,4335076,4412287,4138482,4053361,4006310,3884898,3998016,3870728,3925718,4096523,4322220,4368327,4135913,4043757,4042444,4111206,4350293,4423584,4414348,4399720,4446706,4476304,4318557,4284572,4228199,4067803,4021966,3846079,3688555,3533443,3412953,3319395,3206389,3155246,3267279,2400045,2350533,2269285,2298178,1983006,1790365,1670212,1546745,1454919,1314382,1226269,1145016,997583,933072,857219,782329,715654,612130,540558,462567,383147,320382,256080,198410,151897,113205,78691,51958,86316
0,0,0,2019,332498928,4158128,4140408,4119723,4032114,4052288,4044309,4031530,4036786,4082829,4081757,4083659,4212852,4231359,4196490,4185717,4200394,4182553,4184693,4309915,4400611,4360837,4387999,4420103,4466366,4566464,4658171,4724772,4839385,4915220,4895033,4698379,4579145,4490372,4494817,4514906,4365468,4419874,4408390,4353216,4428047,4153101,4065620,4016711,3893861,4005479,3877168,3929991,4097597,4319550,4362605,4129113,4035259,4032599,4099732,4336328,4407932,4397385,4381305,4425928,4452985,4294159,4257600,4198393,4035937,3987015,3809360,3649714,3492444,3369495,3272636,3156991,3101473,3205459,2351136,2297471,2212712,2234383,1922542,1729891,1607607,1482171,1387146,1245927,1154696,1070045,924425,856913,779648,704014,636511,537393,467869,394180,321054,263645,206608,156722,117298,85310,57811,87796
0,0,0,2020,335638330,4196945,4181829,4162486,4138487,4048296,4067999,4060322,4048163,4054255,4100929,4099964,4101629,4230276,4249271,4216252,4209594,4230738,4220760,4231316,4363016,4458080,4420860,4448741,4480644,4526017,4624637,4714174,4777884,4889503,4961709,4937726,4736872,4613388,4520921,4522509,4540087,4388349,4440114,4426707,4369567,4441810,4165345,4076068,4025602,3901870,4011749,3881792,3931849,4095972,4314330,4354755,4120487,4025634,4021940,4087614,4321663,4391402,4379465,4361575,4403774,4428067,4267754,4228228,4165892,4001373,3949159,3769510,3607720,3448403,3322823,3222474,3103827,3043563,3139055,2298569,2240579,2152141,2166330,1858052,1665494,1541010,1413624,1315338,1173662,1079601,992079,849484,779852,702112,626643,559268,465529,399100,330646,264488,212997,163437,121201,88551,62768,92215
0,0,0,2021,338780674,4232540,4220900,4204100,4181406,4155167,4063691,4083815,4076875,4065589,4072354,4119188,4117891,4119234,4248321,4269110,4240278,4240175,4269305,4267806,4285073,4420999,4518131,4482121,4509508,4540475,4584503,4680823,4767684,4828385,4936300,5004661,4975967,4771203,4643858,4548825,4547988,4562932,4408973,4458619,4443233,4383912,4453269,4175757,4085031,4033524,3908715,4016172,3883997,3931030,4091831,4306985,4345061,4110724,4015223,4010694,4074852,4306152,4373977,4360279,4340520,4380012,4401077,4238924,4196117,4130576,3963887,3908043,3726446,3562586,3401078,3272693,3168518,3046549,2981286,3067984,2242184,2179657,2087443,2093812,1789367,1596932,1470246,1340958,1239523,1097794,1001452,912174,773601,702784,625452,551067,484935,397484,335135,272697,213927,168729,126591,91635,65275,98333
0,0,0,2022,341921345,4265068,4256743,4243356,4223178,4198199,4170992,4079288,4100234,4094246,4083646,4090611,4137176,4135482,4137430,4268322,4293247,4271063,4279045,4316784,4322053,4343768,4481603,4579460,4543396,4569587,4599109,4641007,4734555,4818521,4875552,4979480,5043100,5010017,4801756,4671693,4574512,4571141,4583535,4427836,4475333,4457724,4395941,4462954,4184693,4093029,4040259,3913743,4018127,3883506,3927715,4085599,4297818,4334212,4100189,4004246,3998854,4061310,4289760,4355327,4339769,4317872,4354171,4371547,4207298,4161151,4092233,3923120,3863632,3680163,3514089,3350205,3218676,3110392,2984904,2914566,2992035,2181784,2114559,2018396,2016629,1716163,1524041,1395207,1264193,1159909,1018819,921308,831212,697645,626524,550499,478259,414474,334126,276723,220841,169691,130888,95875,67658,103969
0,0,0,2023,345055582,4294406,4289523,4279381,4262578,4240084,4214112,4186967,4095562,4117511,4112270,4101852,4108568,4154838,4153677,4157598,4292620,4324188,4310228,4326892,4371552,4381240,4405137,4543479,4640856,4603956,4628462,4655755,4695017,4785645,4866010,4919076,5018124,5077279,5040330,4829614,4697325,4597881,4592070,4602358,4444911,4490031,4469878,4406167,4471243,4192660,4099840,4045170,3916328,4017339,3880524,3922351,4077604,4287523,4322611,4089103,3992724,3986295,4046950,4272188,4335383,4317677,4293167,4325807,4339113,4172788,4123097,4050525,3879028,3815900,3630424,3461971,3295395,3160419,3047853,2918813,2843201,2910973,2117222,2045081,1944791,1934411,1638260,1446752,1315886,1183530,1076991,937793,840052,750116,622422,551899,478217,409171,348790,276202,224390,175402,131819,99290,70912,109188
0,0,0,2024,348178548,4320828,4319106,4312343,4298752,4279591,4256080,4230159,4203582,4112739,4135442,4130421,4119772,4126189,4173079,4173876,4182116,4323737,4363594,4358451,4382090,4431271,4443142,4467753,4605458,4701574,4663256,4685371,4709913,4746304,4833393,4909820,4958057,5052499,5107742,5067953,4855223,4720638,4619019,4611204,4619361,4459980,4502406,4480170,4414989,4478582,4199419,4104812,4047601,3916197,4014014,3875526,3915283,4068533,4276511,4310483,4077508,3980524,3972957,4031508,4253353,4313869,4293527,4265950,4294539,4303697,4135170,4081639,4005443,3831629,3764629,3576964,3405799,3236260,3097653,2980818,2848115,2766966,2824540,2048306,1971039,1866269,1846939,1555621,1365041,1232492,1099452,991887,855606,758596,669731,548750,479862,409550,344699,288667,224240,178461,136446,100147,73563,114723
0,0,0,2025,351287207,4344874,4345769,4342102,4331859,4315872,4295670,4272199,4246839,4221074,4130615,4153531,4148323,4137431,4144440,4193337,4198465,4213504,4363386,4412120,4414096,4442267,4493708,4506285,4530436,4666772,4761048,4720615,4739827,4761399,4794275,4877443,4949092,4992757,5083177,5135552,5093345,4878569,4741736,4638373,4628522,4634345,4472753,4512906,4489052,4422848,4484703,4204323,4107298,4047268,3913566,4008657,3868897,3907199,4058833,4265036,4297886,4065243,3967575,3958581,4014912,4232989,4290302,4266843,4235857,4260323,4265083,4094171,4036800,3956994,3780747,3709555,3519362,3345211,3172568,3030286,2909171,2772596,2685690,2732494,1974854,1892037,1782652,1754198,1468232,1279125,1145539,1013122,905508,773171,677794,590951,477569,411369,345396,285606,234660,178580,139031,103818,74317,120051
