RACE,YEAR,POP_0_19,POP_20_39,POP_40_59,POP_60_79,POP_80_100
1,2016,59652579,65096129,66103411,47033645,10616768
1,2017,59661782,65664097,65515353,48533429,10757794
1,2018,59676856,66207225,64959264,49962295,10948851
1,2019,59686195,66719948,64476025,51340854,11146314
1,2020,59655586,67082187,64122686,52745140,11369930
1,2021,59671849,67453902,63763152,54050800,11630760
1,2022,59758552,67729313,63519132,55163128,11980942
1,2023,59832904,68016522,63323345,56031780,12509244
1,2024,59888136,68369304,63113923,56951179,12932101
1,2025,59959184,68594070,63117710,57762982,13336652
1,2026,60026031,68842311,63323992,58354472,13715701
1,2027,60079104,69116556,63584001,58308714,14638703
1,2028,60153500,69313113,63940136,58382785,15371346
1,2029,60316322,69350929,64308728,58537652,16047195
1,2030,60472248,69247521,64683731,58818007,16702792
1,2031,60606565,69142792,65136882,59010174,17352701
1,2032,60779172,69032213,65759650,58952469,18010133
1,2033,60957865,68974346,66471245,58689646,18683809
1,2034,61117854,68947072,67209182,58332808,19371712
1,2035,61267875,68948152,67838840,58003770,20080023
1,2036,61418992,68975104,68527428,57597146,20738802
1,2037,61548722,69025343,69123332,57214374,21424170
1,2038,61658200,69084127,69693603,56866494,22072950
1,2039,61748580,69139029,70233412,56587360,22669290
1,2040,61821788,69156026,70634678,56450475,23282027
1,2041,61880322,69218463,71040136,56307139,23833941
1,2042,61926743,69348672,71351678,56261151,24297534
1,2043,61963832,69465254,71673662,56258326,24704364
1,2044,61994301,69561681,72056438,56243846,25066648
1,2045,62020528,69672302,72317365,56414458,25337690
1,2046,62044580,69776375,72597837,56732026,25437147
1,2047,62068325,69864799,72900843,57086744,25481749
1,2048,62093665,69972059,73127538,57523364,25492893
1,2049,62122072,70164285,73198564,57982713,25545249
1,2050,62154527,70347575,73135120,58477581,25701093
1,2051,62191608,70507506,73069925,59034995,25817251
1,2052,62233605,70703214,72997035,59709742,25787783
1,2053,62280409,70903352,72972500,60433700,25657962
